AuthorName,comment_content
Michael,"
					My beta key for Powder was revoked today (expired I suppose) so it has disappeared from my Steam library and so I have no option to uninstall the game, which is still present on my HD and I assume in my registry. There is no uninstaller present, and attempting to uninstall from Add/Remove programs in Windows removed the game from that list but NOT my game files from the HD, which concerns me that registry keys and other items from the install may still be present.

Please help support me to remove the game...				"
taz.in.bc,"
					I'm not a skier, just thought it looked like fun.

During the tutorial I found the physics kind of weird, like my skis were not sliding freely on the snow, I couldn't get going... then suddenly I'd be zooming along, then get stuck again.  Speed control seemed to be all over the place and steering didn't seem to work as in the instructions;  I would be sideslipping to the right all the time, even when turning my hands to steer to the left.

But I struggled along and eventually it got ""slippery"" ... and then...				"
VR Gaming Therapy,"
					I am having trouble finding this ""wingsuit"" within the game. I got a free key to review this game based on my YouTube channel & I'd love to figure out where this is because it looks like the best part of the game. The freedom!! This should really be apart of the game instead of a ""secret"" within the course.. Can't wait to see what updates roll out in the future....				"
nitejrny,"
					My only complaint would be the constant cloud of snow spray in your face. Kinda ruins the fun if you can't see. An option to eliminate the snow cloud and frost on your goggles or even the goggles entirely. The graphics so far aren't stunning or anything, but better than any other vr ski game I've tried. I'll definitely buy it....				"
Divinity,"
				 
																	 
								I only played briefly but I was surprised by how good the snowboarding felt. I have yet to try the skiing. I have experienced some crashes, but I'm mostly left impressed by how the snowboarding felt. At the end of a run I swung the board horizontally to stop and the game tracked the motion more nicely than I would have expected. Considering this game is pretty much the first VR game of it's kind, I'd say it's worth a shot. Sure costs less than a lift ticket, and from my experience with the snowboarding is enough like the real thing to be thrilling I absolutely suck at the game btw, I'm gonna have to figure out the mechanics more because I got demolished in my first race. Perhaps a suggestion I'd have is some sort of ""Unlock All"" cheat code or mode where we can access all the levels without having to beat the game, as right now I could see a lot of players getting frustrated unlocking all of the content			"
jase4130,"
				 
																	 
								They got the feeling of boarding pretty close. Riding down the mountain carving big turns and popping jumps is great. Can't wait to see what they add next. Can't help but think what it would be like if this was surfing big waves and barrels.			"
Matt,"
					I've been looking forward to a VR game like this. Even after months in VR, I still get a weird sensation from moving or falling. I am sure it will be a blast going down hill.

Are you considering adding full body tracking?				"
i hate blood in vr not optional,"
					the game is not working on the oculus quest with oculus link
only the tutorial works and as soon i am in the loading screen , the load continue without to be never loaded  i tried in the quick race and in explorer same issue				"
VYTEO,"
					We've gathered tons of feedback through various channels- Discord, email, professional skiers & snowboarders, reddit, social media, surveys and more. This is the official public forum for feature requests to highlight anything we've missed.

Don't forget to sign up for our mailing list to get a test/demo key for the next iteration of Powder VR.

http://eepurl.com/gGFXDX

Thanks!...				"
Psycho762,"
					When I load into the level and jump out of the helicopter even a little too fast, I need to restart the run since no input is received.

I am using a Valve Index with Index controllers.				"
FishTail[JoinUsInVR]ð¬groupð,"
					A couple of us in our steam group chat were talking about it, but nobody's played it and there are no reviews yet.  

If you've played it please reply here, or in the JoinUsInVR steam chat, and let us know what you think so it helps us decide if ti's worth a try....				"
rodog944,"
					it tells me to hold up headset and controllers so base can see it but there is no base and it won't launch without it				"
MarquisDeSang,"
					PCVR is dragging down VR. Stand-Alone VR is the only possible future.				"
RainSoft Games,"
					ONE YEAR!

It's been a whole year since we started Early Access and we're past the halfway mark to the full version. We might leak some new features over the holidays but I hear the official mega update will drop on January 14th.

http://www.powdervrgame.com/img/lift.gif...				"
TiddyVRLive,"
					It's essential that a game like yours requires LIV Mixed reality support (not the headset, LIV puts the streamer ""inside"" the game for viewers)  My team (FeVR on Twitch) tend to only play games with LIV support because our viewers love it. And we have access to around 15k viewers from our team combined, so having LIV would serve you well....				"
redwineinacan,"
				 
																	 
								Have been waiting for a long time for a VR game to give me that feeling of being an extreme sport athlete. This game has easily filled that gap for me. Being able to flip/spin while flinging yourself off cliffs feels amazing (all with comfort options so providing you have your VR legs you can unlock the camera) but even being able to bomb through chutes without the fear of injuring yourself is worth the price alone. Have spent the majority of time on skis and there has definitely been some thought getting the controls right to give you feeling of being on the snow. If you're exploring, I'd suggest chucking the controllers through a belt positioned at your hips or in your pockets. Being able to drive into turns with your knees feels insanely realistic and a lot of fun for bombing hills. Devs have managed to capture that easy to pick up, hard to master mechanic so if you are struggling, keep practicing and it will click. Mountains are enormous with plenty of variety. With more coming, there are many hours of finding new lines.			"
EV,"
				 
																	 
								I bought the game a while ago and never was able to play more than the tutorial. I simply got stuck in every other loading menu and after abt 15 min the game did not respond. Really frustrated actually, as the game seems so nice!			"
Libtastic,"
				 
																	 
								A bold attempt at VR simulation of snowboarding / skiing. As someone who rides weekly in resort (and just got back from snowbird and solitude this weekend), and tours regularly once the snowpack has set in, the physics of this game unfortunately do not add up. The acceleration in deep powder (or even packed snow) should not be this quick. During carves deceleration and further acceleration from heel/toe should not just be ""forward momentum changes"". The powder/snow effects are outdated. The mountains are fairly barren. I feel that the graphics engine is not optimized at this time for the eye-candy / performance ratio (i'm on a RTX 3070 and oculus rift).  Unfortunately the graphics are far from AA/AAA gaming at this time.  I do feel that this has the potential to become ""Steep"" VR, and hope that it gets there some day. At this time it is hard to recommend as a purchase. Will re-post review once more updates (hopefully) come.			"
Crunchy,"
					i cant play this on my vr i spent 20 dollars for nothing				"
Suburban Fox,"
					Every time I try to run this, I see nothing on my headset. My desktop shows the ""made with Unity"" screen, then I get about 2 seconds of music and then what looks like a pale blue screen with grey at the bottom, and... nothing. No response from any inputs, nothing on the VR headset (just shows the Oculus home screen)... the game simply won't work at all. Any ideas before I request a refund?...				"
Wheelz,"
					I use a wheelchair and was wondering if I can play from a seated position ?				"
Rip in Lel,"
					can you use vive pucks for snowboarding ??				"
games23,"
					i've been waiting for this to release, really like it.

i'm having an issue exiting the heli on the second level. when going to push off the rails, sometimes the front of the snowboard shakes right to left, then it forces a restart.  

other times, it just puts my avatar outside of the heli, opposite side from where you exit.  i'm standing outside, looking into the heli, thru the opposite side doors, then forces restart. (terrible description, don't know how else to word it)

the few times i was able to ex...				"
ArealiTvirtual,"
					I can't wait to play Powder VR ... when?				"
J.B.Doge,"
					I can't make it through the skiing tutorial.  

My ski sticks will randomly disappear at some point (and sometimes come back randomly).

When it gets to the first time where you actually start skiing downhill, you have 10 seconds to make it through the goal post... This is a completely unrealistic goal for a novice, considering it's not even a straight shot.  I ski down and get stuck at the first turn.  And lets say things go well, I'm bending my knees and leaning forward to pick up speed.  I make the turn...				"
Pr0tista,"
					Is there a way to turn off slow motion while you are in the air? I didn't see it in the options. the slow motion is usually pretty cool but sometimes I think I would like just a clean uninterrupted run.				"
scottstoll2017,"
				 
																	 
								**Physical limitation** Make sure you can lean backward and twist left at the same time if you want to snowboard. I have a slight curvature, and it made it impossible for me to turn left.			"
Melfalik,"
				 
																	 
								Snowboard yer ass.			"
Rafport,"
				 
																	 
								The first approach with this game was strange, because the overall behavior was very different from what I expected to be. Years ago I played quite a bit the arcadey but overall fun Fancy Skiing VR: despite being unrealistic you were able to ski and especially turn in seconds, very intuitive. Powder VR is just the opposite, it uses a mix of head orientation, head position from the center and hands position than can be seriously confusing, especially with the snowboard. After the first hour, I started to understand how to play it and how to configure things into options for my needs. Still, I hope the control system will be improved in future, pointing more on leaning and less to hands position and head rotation, and in general with more care for intuitivity. Comfort is good, better than my expectations. There are quite a lot of contents and unlockables just now and more to come, polishing and UI need some work but being an Early Access this is expected. It's the better skiing experience for VR, as far as I know, mostly because there are not many serious opponents and this is sad, skiing fits VR so well. But it's clear than devs have passion, just see how many patches they released and their roadmap, this game will improve. So it deserves to be supported, my review is positive. You should consider it if you're interested in trying to ski in VR, but if you're looking from a full and polished experience, could be better to wait for the full release.			"
Craig [K.A.O.S.],"
					Subscribed, but never received in email.				"
DeGugs,"
					One underrated feature of Shaun White's Snowboarding game is the ability to pick up a snowball mid-ride and throw it at other racers. It's a skill I've worked to master in real life. Could it be added to this game?				"
Zennar,"
					Ski poles are disappearing if you restart a challenge more than a couple of times, also the jumping tricks suddenly start to appear without having to perform them. The only way to sort this out is by restarting the game completely.				"
think,"
					When i start the game i can't choose ski or snowboard. I don't see any menu. How can i start?				"
P1n3Appl3pUnch,"
					I have  1660 super 6 gig and ryzen 5 3600x I mean I can run most things very well like half life and i have never seen these rec specs what do yall think will this work for me should i try it even? thanks				"
The Mystical Fuzzy Corndog,"
					Although many of my friends and family seem to have VR comfort issues for even some fairly tame games (considered ""comfortable""), it seems I'm quite the opposite, with a strong tolerance (and desire) for break-every-VR-comfort-guideline-imaginable experiences, including my own VR game prototype in which I temporarily shift the camera perspective to an object (e.g. golf ball) that's been sent soaring through the air, a.k.a. ""ball's eye view"".

I read that Powder VR is optimized for comfort, which I think is...				"
soundreflect,"
					Hi,really enjoy the games and thanks for making the first real VR snowboarding game^^
Is there a way to bind grab only on grip button and ollie only on trigger?
Sometimes i fall preparing a ollie because it trigger a grab(i play only with snowboard ).				"
badillin,"
				 
									 
																	 
								It shows little playtime, but i was a tester from a long time. Ive never been snow boarding, but this game feels ""natural"" like... considering the limitations i think they did a great job taking the sense of speed, my height, and knee movement, and all that into the game.  I definetively think the experience would improve with trackers so i could track my feet and hips. But even without them i had a really good time. But i think the game is a little confusing?, as in where i need to go, maybe its meant for me to explore, but i think as someone that has never been to a snow resort, it felt confusing navigating it, which i guess talks about the size of it. Very rarely do i want to be taken by the hand way more, and this is one of those times. Jumping and grinding sometimes feel like i mistimed them when i think i didnt,  Basic tutorial is fine, if after that finished that i was a bit lost. Graphics are ok as is performance, neither is superb, but with a gtx1080 it was very acceptable. Recommended if you are even a little interested in skying, its not the real thing of course, but its probably the best vr simulation of it right now.			"
tadewoosh1,"
					Nothing happens when clicking on 'download Demo""				"
[DK]TheDvd3000,"
					Hey there! Great game! BUT, please, could you guys make the text in the menu appear in black? Or at least make it customizable?

Here we have a game, that is white 90% of the time, and whenever the menu pops up, you have white text ontop of white snow (background.) And whenever you move closer to the text, to angle it just right so you get a better glimpse at whats written, the entire menu rotates 90 degrees. Please take this into consideration :) !...				"
kuroneko007,"
					So I've only just tested this and played under an hour. Tried the tutorial on skis and board, and the first map on quick race. For reference, I'm an advanced level snowboarder IRL.

Tutorial: In both cases (ski / board) I found it difficult / near impossible to get up enough speed to get anywhere near the finish line in 10 seconds. I definitely think you should lengthen this to at least 20 seconds, and perhaps make the slope steeper too. So I never got past this part of the tutorial.

Quick Race: This was ...				"
Colin,"
					Hi. Are you releasing this on commercial platforms like Springboard VR. We would love to have this in our arcade and have had requests for a skiing game from customers.				"
dodgychamp,"
					after I load the game i just get this environment with , which I cant interact with. ;ight bvlue (sky?) grey bottom third (ground?)				"
MrGreen_,"
					I see that it isn't on the store page anywhere, but is multiplayer something you are working on, if so how long after release would you expect it to be ready? 
 
Looking forward to getting in this game when it finally releases  				"
Brian La Rochelle,"
				 
													 
													 
								I get the following error while the game is trying to load: Runtime Error! Program: This application had requested the Runtime to terminate in an unusual way. Please contact the application's support team for more information. Running on: i7- 9700k @ 4.9Ghz Gigabyte 2080ti OC 32GB 3200Ghz memory Refunded			"
Gruszka,"
				 
																	 
								Unfortunately I can't recommend this game even though I would wish. The game is simply boring and . Too much space and there is lack of that ""VR feeling"" when you play this game. The calibration is really messed up. Tutorial is annoying and not too helpful. Its better to actually skip it and try to learn controls during a normal quick race. There is also a lot of let's call it, blank space, so you are just riding skiis and just do nothing.. no slalom, no andrenaline, no feeling. I wish the game had slalom mode with flags. For that price I believe it should have it. Somebody in a different review already mentioned poor physics and how the game feels different than skiing in real life. Others would say: ""Hey, but this is just a game"". Well, I would reply to this, there is a free to play game offering skiing that has a much better feeling comparing to real life skiing than this game does. it's just not an entertaining game. There is no joy.			"
VrPersonalComputer,"
				 
									 
																	 
								Great game really enjoyed it  but they could add some changes  when ever I put down my hands to go forward on the ski it was so sensitive and I went flying super speed and sometimes the controllers dont feel to clean but I am pretty sure they could fix that soon overall i would rate this game a 5/10 but I predict it a 7/10 if they update and add better mechanics :D			"
Neurosys420,"
					 				"
farriergirl1,"
					really wanted to like this game and was excited I could try demo  first  But demo wont run so I am uncomfortable about buying game now				"
theforce,"
					After I click calibration I entered a room where it says loading. Then steamvr suddenly crashes				"
Cacazor,"
					Would be great cause you can control the amount of pressure. You could bind it to a joystick axis

https://web.archive.org/web/20171012162643/http://www.greycube.com/site/download.php?view.68

The original project was based on a snowboarding game


DCS World using the Wii board too
https://steamcommunity.com/sharedfiles/filedetails/?id=355718083...				"
ar3z,"
					Hey guys,
first of all: thank you very much for the Beta key!!
I'm reeaaaally looking forward to a decent mountain simulation, that might include all the requirements for a modern sports game (insane jumps, etc) but for me most importantly looks like it could include finely simulated big mountain experience with a true feeling for the steepness and the powder. The last games I really enjoyed in that sector were Supreme Snowboarding  and Shaun White Snowboarding - everything after that (e.g. Steep) all focu...				"
labyrinth282,"
				 
																	 
								Ive only played for a small amount of time, love skiing in real life, i think its great, its basic but fun, looking forward to more time in there, not able to go skiing at the moment. so vr it is. :) well done so far guys.			"
Jorma,"
				 
																	 
								This was too early early access for me and now that I have played it even it's videos do look like strange - jumps etc. do feel very wrong. There was few seconds of snow boarding that felt good, but it did break very fast. There is some good, but it's currently hit so deep and buried under bad design directions that bluntly I do not see that this will make it, but sure hope it somehow would. I just can not select for few days old early access that I do not recommend it, but I really do not even for early access ;)			"
roddy116,"
				 
																	 
								Overall I like this game for what it is a vr skiing game, and if your just trying to do some turns and stuff its good. I cant really recommend this game in its current state as the games limits are really tested if you try to simply do a 360 or something, or start going too fast it really falls apart. Plus im not a fan of the anchored floor point system It keeps putting the center in the room in front of my wall, which i can fix but i dont think i should have to.  Also, drop the medal count thing for free roam,  just let people slide around for wherever they want thats such a dated thing for extreme sports games to require and really kills it for me, im not gonna grind out races in a game that doesnt really work well at high speeds/ doing jumps.			"
kevinking19,"
				 
																	 
								game is pretty fun... only problem is i wish it were more in depth with the tricks.. also there is no way to perform flips which i was really hoping for. i probably wouldnt buy this game if they didn't expand on this stuff...			"
Rumblance,"
				 
																	 
								Janky as hell, truly baffling that there are so few negative reviews. My PC meets or exceeds all reccomended requirements yet the performance is awful even on minimum settings. Controls are very unresponsive and the lean detection is awful. If you turn flips on, you will try to flip everytime you hit the slightest bump because you are always gonna be leaning slightly back or forwards. Seriously how the hell am I supposed to hold my head perfectly straight at all times?			"
